Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_Margin_Pct,Delivery_Days,Discount_Band,Order_Year,Order_Month,Order_Month_Name,Season,Is_Loss,Margin_Band,Sales_Bucket,Revenue_per_Unit,Profit_per_Unit,Discount_Amount,Ship_Speed
20,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,3,0.2,16.011,7.5,5,Low (1-20%),2014,8,Aug,Summer,Profit,Low (0-10%),Medium ($200-500),71.16,5.34,42.7,Standard
21,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,32.5,5,Low (1-20%),2014,8,Aug,Summer,Profit,High (>=20%),Micro (<$50),5.68,1.85,4.54,Standard
22,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,26,4,No Discount,2016,12,Dec,Winter,Profit,High (>=20%),Micro (<$50),2.78,0.72,0,Economy
23,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,26,4,No Discount,2016,12,Dec,Winter,Profit,High (>=20%),Small ($50-200),8.62,2.24,0,Economy
24,US-2017-156909,16/07/2017,18/07/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-1.43,2,Medium (21-40%),2017,7,Jul,Summer,Loss,Loss,Small ($50-200),35.69,-0.51,21.41,Standard
25,CA-2015-106320,25/09/2015,30/09/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,23,5,No Discount,2015,9,Sep,Fall,Profit,High (>=20%),XL (>$1K),348.21,80.09,0,Economy
26,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,36.25,4,Low (1-20%),2016,1,Jan,Winter,Profit,High (>=20%),Micro (<$50),5.82,2.11,2.33,Standard
27,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57,3,0,11.7741,13,4,No Discount,2016,1,Jan,Winter,Profit,Medium (10-20%),Small ($50-200),30.19,3.92,0,Standard
28,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-54,4,High (41%+),2015,9,Sep,Fall,Loss,Loss,XL (>$1K),440.49,-237.86,1541.72,Economy
29,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,9.618,2,0.7,-7.0532,-73.33,4,High (41%+),2015,9,Sep,Fall,Loss,Loss,Micro (<$50),4.81,-3.53,6.73,Economy
30,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,12.5,4,Low (1-20%),2015,9,Sep,Fall,Profit,Medium (10-20%),Small ($50-200),41.4,5.18,24.84,Economy
31,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,33.75,4,Low (1-20%),2015,9,Sep,Fall,Profit,High (>=20%),Micro (<$50),1.63,0.55,0.65,Economy
32,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,11.25,4,Low (1-20%),2015,9,Sep,Fall,Profit,Medium (10-20%),Small ($50-200),14.38,1.62,17.26,Economy
33,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",6.858,6,0.7,-5.715,-83.33,4,High (41%+),2015,9,Sep,Fall,Loss,Loss,Micro (<$50),1.14,-0.95,4.8,Economy
34,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,22.5,4,Low (1-20%),2015,9,Sep,Fall,Profit,High (>=20%),Micro (<$50),7.88,1.77,3.15,Economy
35,CA-2017-107727,19/10/2017,23/10/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-Staple Paper,29.472,3,0.2,9.9468,33.75,4,Low (1-20%),2017,10,Oct,Fall,Profit,High (>=20%),Micro (<$50),9.82,3.32,5.89,Standard
36,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,Ge 30524Ee4,1097.544,7,0.2,123.4737,11.25,2,Low (1-20%),2016,12,Dec,Winter,Profit,Medium (10-20%),XL (>$1K),156.79,17.64,219.51,Fast
37,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-77.5,2,High (41%+),2016,12,Dec,Winter,Loss,Loss,Small ($50-200),38.18,-29.59,114.55,Fast
38,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,31.25,4,Low (1-20%),2015,12,Dec,Winter,Profit,High (>=20%),Small ($50-200),12.59,3.94,22.67,Economy
39,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-8.82,4,Medium (21-40%),2015,12,Dec,Winter,Loss,Loss,Large ($500-1K),177.47,-15.66,170.37,Economy
40,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager'S Chair, Dark Gray",212.058,3,0.3,-15.147,-7.14,4,Medium (21-40%),2015,12,Dec,Winter,Loss,Loss,Medium ($200-500),70.69,-5.05,63.62,Economy
41,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics Hl10 Handset Lifter,371.168,4,0.2,41.7564,11.25,4,Low (1-20%),2015,12,Dec,Winter,Profit,Medium (10-20%),Medium ($200-500),92.79,10.44,74.23,Economy
42,CA-2017-120999,10/09/2017,15/09/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-Ts550,147.168,4,0.2,16.5564,11.25,5,Low (1-20%),2017,9,Sep,Fall,Profit,Medium (10-20%),Small ($50-200),36.79,4.14,29.43,Economy
43,CA-2016-101343,17/07/2016,22/07/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base For Stackable Storage Shelf, Platinum",77.88,2,0,3.894,5,5,No Discount,2016,7,Jul,Summer,Profit,Low (0-10%),Small ($50-200),38.94,1.95,0,Economy
44,CA-2017-139619,19/09/2017,23/09/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,10,4,Low (1-20%),2017,9,Sep,Fall,Profit,Medium (10-20%),Small ($50-200),47.81,4.78,19.12,Economy
45,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,43,2,No Discount,2016,3,Mar,Spring,Profit,High (>=20%),Micro (<$50),22.99,9.89,0,Fast
46,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46,2,0,8.2062,47,2,No Discount,2016,3,Mar,Spring,Profit,High (>=20%),Micro (<$50),8.73,4.1,0,Fast
47,CA-2014-146703,20/10/2014,25/10/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",211.96,4,0,8.4784,4,5,No Discount,2014,10,Oct,Fall,Profit,Low (0-10%),Medium ($200-500),52.99,2.12,0,Standard
48,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,11,5,No Discount,2016,6,Jun,Summer,Profit,Medium (10-20%),Micro (<$50),15,1.65,0,Economy
49,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",21.8,2,0,6.104,28,5,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),10.9,3.05,0,Economy
50,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",38.22,6,0,17.9634,47,4,No Discount,2015,4,Apr,Spring,Profit,High (>=20%),Micro (<$50),6.37,2.99,0,Economy
51,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,47,4,No Discount,2015,4,Apr,Spring,Profit,High (>=20%),Small ($50-200),12.53,5.89,0,Economy
52,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,48,4,No Discount,2015,4,Apr,Spring,Profit,High (>=20%),Micro (<$50),3.08,1.48,0,Economy
53,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,19,4,No Discount,2015,4,Apr,Spring,Profit,Medium (10-20%),Small ($50-200),89.99,17.1,0,Economy
54,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,41,6,No Discount,2016,12,Dec,Winter,Profit,High (>=20%),Micro (<$50),2.18,0.89,0,Economy
55,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,At&T Cl83451 4-Handset Telephone,1029.95,5,0,298.6855,29,6,No Discount,2016,12,Dec,Winter,Profit,High (>=20%),XL (>$1K),205.99,59.74,0,Economy
56,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,25,1,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Medium ($200-500),34.76,8.69,0,Fast
57,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,48,1,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),6.48,3.11,0,Fast
58,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2.22,1,Low (1-20%),2016,6,Jun,Summer,Profit,Low (0-10%),Medium ($200-500),63.88,1.42,31.94,Fast
59,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,48,1,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),7.28,3.49,0,Fast
60,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,11,1,No Discount,2016,6,Jun,Summer,Profit,Medium (10-20%),Micro (<$50),15,1.65,0,Fast
61,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,33.75,1,Low (1-20%),2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),12.12,4.09,9.7,Fast
62,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,50,1,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Micro (<$50),1.68,0.84,0,Fast
63,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,44,6,No Discount,2015,11,Nov,Fall,Profit,High (>=20%),Micro (<$50),6.99,3.08,0,Economy
64,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,36.25,6,Low (1-20%),2015,11,Nov,Fall,Profit,High (>=20%),Micro (<$50),4.3,1.56,5.16,Economy
65,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,47,6,No Discount,2015,11,Nov,Fall,Profit,High (>=20%),Small ($50-200),48.91,22.99,0,Economy
66,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,28,6,No Discount,2015,11,Nov,Fall,Profit,High (>=20%),Small ($50-200),19.94,5.58,0,Economy
67,US-2015-164175,30/04/2015,05/05/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager'S Chair, Gray",213.115,5,0.3,-15.2225,-7.14,5,Medium (21-40%),2015,4,Apr,Spring,Loss,Loss,Medium ($200-500),42.62,-3.04,63.93,Economy
68,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,10,5,Low (1-20%),2014,12,Dec,Winter,Profit,Medium (10-20%),XL (>$1K),139.13,13.91,222.6,Economy
69,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,Nettalk Duo Voip Telephone Service,167.968,4,0.2,62.988,37.5,5,Low (1-20%),2014,12,Dec,Winter,Profit,High (>=20%),Small ($50-200),41.99,15.75,33.59,Economy
70,CA-2016-119823,04/06/2016,06/06/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,47,2,No Discount,2016,6,Jun,Summer,Profit,High (>=20%),Small ($50-200),37.94,17.83,0,Fast
71,CA-2016-106075,18/09/2016,23/09/2016,Standard Class,HM-14980,Henry Macallister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,37.5,5,Low (1-20%),2016,9,Sep,Fall,Profit,High (>=20%),Micro (<$50),4.62,1.73,0.92,Economy
72,CA-2017-114440,14/09/2017,17/09/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",19.05,3,0,8.763,46,3,No Discount,2017,9,Sep,Fall,Profit,High (>=20%),Micro (<$50),6.35,2.92,0,Standard
